Associate ID,Email triggered date
116283,08-Sep-21
116323,07-Apr-22
116363,11-Jun-21
116383,15-Sep-21
116435,23-Jun-21
116485,13-Apr-22
116598,27-Jan-21
116618,08-Apr-21
116740,20-Apr-22
116813,15-Mar-22
116822,16-Jun-21
116943,28-Mar-22
116962,17-May-21
116982,08-Nov-21
117003,04-Aug-21
117009,17-Jun-21
117088,08-Nov-21
117127,21-Jun-21
117153,30-Jun-21
117221,28-Apr-21
117234,04-Jan-22
117244,18-Jan-21
117254,10-Feb-22
117274,01-Jul-21
117345,30-Jun-21
117387,22-Jul-21
117432,06-Sep-21
117471,20-Oct-21
117492,04-Oct-21
117511,04-Jan-22
117556,21-Jun-21
117622,12-Jan-22
117694,31-Mar-22
117757,15-Nov-21
117786,02-Feb-21
117915,22-Jan-21
117950,12-Aug-21
117954,02-Jul-21
117969,30-Mar-22
118013,22-Apr-21
118063,25-Apr-22
118069,01-Nov-21
118087,14-Sep-21
118130,11-Oct-21
118163,12-Mar-21
118182,01-Sep-21
118231,18-May-21
118281,08-Dec-21
118339,19-Jul-21
118340,13-Sep-21
118358,09-Jun-21
118365,31-Aug-21
118390,12-May-21
118393,23-Nov-21
118417,02-Mar-21
118429,14-Oct-21
118443,24-Sep-21
118483,16-Feb-22
118495,04-May-21
118554,14-May-21
118557,25-Aug-21
118565,20-May-21
118567,18-Jan-21
118582,03-Nov-21
118655,08-Oct-21
118677,29-Jul-21
118687,18-Feb-21
118737,07-Jul-21
118772,27-Apr-21
118789,09-Dec-21
118850,10-Feb-21
118925,17-Feb-22
118955,13-Dec-21
118970,11-Aug-21
119069,05-Jul-21
119104,29-Sep-21
119157,05-Aug-21
119216,09-Aug-21
119249,28-Jan-21
119301,17-Feb-21
119322,23-Jun-21
119325,06-May-21
119368,11-Jan-21
119401,10-Aug-21
119437,03-Jun-21
119476,18-Aug-21
119478,09-Dec-21
119507,04-Aug-21
119517,23-Jul-21
119525,19-Apr-22
119539,14-Jul-21
119544,03-Sep-21
119558,21-Oct-21
119626,03-May-21
119635,23-Dec-21
119649,04-Jun-21
119654,20-Aug-21
119707,05-Jan-22
119774,10-Nov-21
119791,07-Jul-21
119861,03-Feb-21
119866,26-Jul-21
119876,19-Aug-21
119911,07-Mar-22
119942,12-Nov-21
120061,06-Jul-21
120186,13-Apr-21
120187,24-Aug-21
120219,05-Apr-21
120381,01-Jun-21
120393,17-May-21
120593,02-Dec-21
120679,01-Dec-21
120712,12-Jul-21
120757,20-Jan-22
120794,10-Dec-21
120798,25-Apr-22
120835,17-Aug-21
120844,19-May-21
120905,13-Apr-21
121025,27-Sep-21
121066,30-Jun-21
121113,02-Aug-21
121153,13-Oct-21
121154,18-Feb-21
121190,20-Dec-21
121214,17-Sep-21
121265,19-Apr-22
121313,28-Apr-21
121366,04-Mar-21
121371,06-Aug-21
121400,02-Jul-21
121425,17-Nov-21
121477,22-Oct-21
121549,02-Jun-21
121594,22-Mar-21
121653,24-Nov-21
121744,29-Apr-21
121751,27-Oct-21
121847,26-Jul-21
121858,11-May-21
121863,08-Sep-21
121872,15-Mar-22
121939,03-Aug-21
121950,03-Jun-21
122003,07-Dec-21
122013,30-Jun-21
122014,25-Aug-21
122084,08-Apr-21
122221,25-Apr-22
122229,15-Sep-21
122231,14-Sep-21
122274,08-Mar-22
122277,11-May-21
122302,04-Mar-22
122305,21-Jul-21
122336,16-Dec-21
122345,12-Aug-21
122350,04-Jan-22
122355,18-Jan-21
122367,08-Dec-21
122383,08-Oct-21
122392,23-Jun-21
122429,10-May-21
122456,02-Sep-21
122652,07-Apr-21
122656,16-Sep-21
122705,30-Dec-21
122753,29-Sep-21
122781,14-Jul-21
122828,24-Feb-21
122847,22-Nov-21
122921,04-Oct-21
122924,10-Aug-21
122944,05-Apr-21
122952,25-Jan-22
123112,03-Mar-21
123188,09-Jul-21
123200,26-Feb-21
123225,12-Apr-22
123295,20-Dec-21
123347,14-Oct-21
123355,24-Mar-22
123416,03-Feb-22
123419,18-Nov-21
123510,22-Jul-21
123520,26-Nov-21
123556,23-Jul-21
123577,12-May-21
123629,04-Jun-21
123670,12-Jul-21
123716,10-Aug-21
123902,14-Mar-22
123917,25-Mar-21
124001,09-Nov-21
124025,18-Mar-21
124055,07-Mar-22
124068,24-Sep-21
124093,11-May-21
124214,31-Mar-21
124245,22-Jul-21
124286,12-Aug-21
124339,06-Apr-22
124342,12-May-21
124349,23-Dec-21
124354,17-Mar-22
124371,30-Sep-21
124417,15-Sep-21
124463,10-Nov-21
124596,08-Jan-21
124600,23-Mar-22
124628,14-Sep-21
124685,09-Dec-21
124750,16-Feb-22
124759,07-May-21
124820,13-Sep-21
124883,21-Jun-21
124887,23-Jun-21
124970,15-Jan-21
125004,02-Sep-21
125019,24-Feb-21
125026,20-Apr-21
